time(UTC),poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,cell_temp
2015-05-29 08:00:00+00:00,385.4399755820221,20.196419052200646,365.24355652982143,358.2768775266122,6.966679003209187,31.67648753564928
2015-05-29 09:00:00+00:00,607.7366628924761,227.6700208988945,380.06664199358164,367.60700454553444,12.4596374480472,39.17867580812367
2015-05-29 10:00:00+00:00,608.9102834887517,239.03979391787664,369.870489570875,357.34386482472,12.526624746154981,40.01102247451144
2015-05-29 11:00:00+00:00,482.29439000589787,89.61541603837583,392.67897396752204,383.4682204777022,9.210753489819838,36.2151512224682
2015-05-29 12:00:00+00:00,331.0608889420435,22.71916987473723,308.34171906730626,302.29611541307906,6.045603654227203,30.920818415276877
2015-05-29 13:00:00+00:00,123.46873843449139,0.0,123.46873843449139,121.29165124598852,2.177087188502871,24.3314391422202
2015-05-29 14:00:00+00:00,156.3638993077779,29.572161735657826,126.79173757212007,123.15767664977297,3.6340609223471,24.0747439249736
2015-05-29 15:00:00+00:00,25.69374768689828,0.0,25.69374768689828,25.191342951089926,0.5024047358083549,19.422965828624047
2015-05-29 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,17.8
2015-05-29 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,17.3
2015-05-29 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16.94
2015-05-29 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16.76
2015-05-29 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16.56
2015-05-29 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16.22
2015-05-29 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,15.92
2015-05-29 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,15.72
2015-05-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,15.56
2015-05-30 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,15.38
2015-05-30 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,15.15
2015-05-30 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,15.19
2015-05-30 04:00:00+00:00,7.598076211353317,0.0,7.598076211353317,7.464101615137755,0.1339745962155613,15.305192182957134
2015-05-30 05:00:00+00:00,41.78941916244324,0.0,41.78941916244324,41.05255888325765,0.7368602791855872,17.063389435570542
2015-05-30 06:00:00+00:00,226.1667132938214,6.554553972144069,219.61215932167732,215.5259341371027,4.086225184574619,24.421887789983742
2015-05-30 07:00:00+00:00,172.85623380828795,0.0,172.85623380828795,169.80831174438393,3.047922063904019,24.155071085507778
2015-05-30 08:00:00+00:00,222.2437291820845,0.0,222.2437291820845,218.32497224277935,3.918756939305168,26.373200548501355
2015-05-30 09:00:00+00:00,314.1862186804791,2.5981067168853813,311.58811196359375,306.02816622064796,5.559945742945794,30.23791638419144
2015-05-30 10:00:00+00:00,356.6022796223516,7.839571532194861,348.76270809015676,342.41566159444454,6.347046495712216,31.701561895001614
2015-05-30 11:00:00+00:00,484.40701590120995,92.59406733747237,391.81294856373756,382.53520777580997,9.27774078792762,36.014200092196404
2015-05-30 12:00:00+00:00,451.8512013982156,168.9495365879635,282.9016648102521,273.3727216544203,9.528943155831797,34.70115620636356
2015-05-30 13:00:00+00:00,308.4658849253783,89.15748685486284,219.3083980705155,212.72689603142604,6.5815020390894485,30.129650867448543
2015-05-30 14:00:00+00:00,22.794228634059948,0.0,22.794228634059948,22.392304845413264,0.4019237886466839,21.432956370826723
2015-05-30 15:00:00+00:00,7.598076211353317,0.0,7.598076211353317,7.464101615137755,0.1339745962155613,19.945992125208395
2015-05-30 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,18.68
2015-05-30 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,17.88
2015-05-30 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,17.49
2015-05-30 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,17.24
2015-05-30 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16.98
2015-05-30 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16.58
2015-05-30 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16.28
